高级财务管理人员,15-30万/年
运营管理人员,5-9千
现场管理人员,6-9千
污水站运行管理人员,5-6千
信息中心管理人员,6-8千
财务管理人员,8-8.5千
资深财务管理人员,50-100万/年
湖北楚禹公司—行政管理人员,6千-1万
陈皮仓库管理人员,5-7千
4、管理人员 2名,5-7千
养护工区管理人员,8千-1.2万
资深设备管理人员,40-60万/年
项目型销售管理人员,7千-1.4万·13薪
项目管理人员（储备）,4-5千
养护工区管理人员,8千-1.2万
供应商管理人员,18-30万/年
教务管理人员,5-8千
安环专员（有安环管理人员证）,4.5-7千
规划建设部专员（工程管理人员方向）,7-9万/年
APP系统管理人员,6-8千
养护工区管理人员,8千-1.2万
安全管理人员,4.5-6千·13薪
中药材种植基地现场管理人员,5-8千
生产技术及管理人员,8千-1.5万
品质储干（品质管理人员方向）,6-8千
综合安质队安全管理人员（ts）,12-16万/年
现场施工管理人员,1-1.1万
生产管理人员,5-8千
车间储备管理人员,5.5-8千
殡葬服务管理人员,5-7千
院校教务管理人员,7千-1.2万
外派财务管理人员,9-10万/年
医药技术研发管理人员,1.5-2.5万
工程技术管理人员,12-15万/年
财务管理人员,8千-1.2万
钢结构生产管理人员,12-15万/年
物业设施管理人员,1.5-2.5万
催化剂生产管理人员,6千-1万
生产管理人员,8千-1.5万
安全管理人员,8千-1万
污水池管理人员,4.5-6.5千
工程管理人员,8千-1万
项目管理人员,7-9千
农庄运营规划管理人员,5-8千·13薪
11.管理人员,4-6千
污水站运行管理人员,5-6千
认证管理人员,4-5千
保安主管（管理人员-盐城）,8千-1万
项目管理人员（储备）,4-5千
酒店管理人员,7.5-9.5千
安保管理人员,5-6千
保安主管（管理人员-盐城）,8千-1万
（臣捷公司）水利工程管理人员,8-15万/年
生产线管理人员,4-5千
农场管理人员,4-7千·13薪
酒店管理人员,7.5-9.5千
安保管理人员,5-6千
地铁管理人员,7-9千
生产管理人员,3.5-6千
酒店管理人员,7.5-9.5千
院校教务管理人员,3.5-5千
新能源品牌中高层管理人员,1-2万
车辆管理人员,4-5千
酒店管理人员,7.5-9.5千
中层管理人员,6-8千
食堂行政管理人员,3.5-4千
金属材料专业质量管理人员,4-6千
酒店管理人员,7.5-9.5千
生产管理人员（配方颗粒）,3-6千
仓库管理人员（上海五牛智慧设备制造有限公司）,6-7千·13薪
车间现场管理人员,7千-1万·14薪
运营管理人员,15-18万·13薪
车间管理人员,6-8千
酒店管理人员,7.5-9.5千
03猪场场长/高级管理人员,1.5-3万
规划建设部专员（工程管理人员方向）,7-9万/年
教务处高级管理人员（国际化方向）,20-40万/年
酒店管理人员,7.5-9.5千
化工生产管理人员/生产技术总监,8千-1.5万·13薪
