做饭人员,6-8千
列车工作人员/五险一金/上几休几,6-8千
招标辅助人员（电力）,6-9千
（日结）多个景点通用门票卡兼职销售人员,300元/天
事业中心管理岗,2.6-3.8万
列车服务人员/五险一金/上几休几,6-8千
银行专项分期人员（五华区）,2.5-5千
保安人员,2.8-3.5千
二次元自营品牌销售人员,3.5-5千
列车工作人员/五险一金/上几休几,6-8千
场务服务人员（兼职）,200元/天
曲靖市县答疑人员—日语老师,5-8千
物业保洁组人员,3-3.7千
列车工作人员/五险一金/上几休几,6-8千
计算机专业人员,6-9千
湖北咸宁市县答疑人员—日语老师,5-8千
国有银行辅助人员（瑞丽市区）,3-6千
列车工作人员/五险一金/上几休几,6-8千
工程人员,5-8千
广西崇左答疑人员——日语老师,5-8千
造价人员,3-5千
列车工作人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
九江市县答疑人员—日语老师,5-8千
财务人员1名,4-5千
列车工作人员/五险一金/上几休几,6-8千
秩序维护人员招聘180元/天,4-6千
档案管理技术人员,1.6-2万
医院保卫科工作人员,6-7千
SNYZ-管理员（广东）,6-9千
线路土建设计人员,1-2万
物业维修人员,4.5-6千
绿化养护人员,7.9-8千
SNYZ-管理员（广东）,6-9千
保洁人员,4.5-4.6千
5S管理员,5-8千
物业维修人员,5-6千
SNYZ-管理员（广东）,6-9千
场务服务人员（兼职）,200元/天
部门助理-9个月岗位（冰柜管理第三方人员）,4-7千
寻 工程类中/高级职称 技术人员,4.5-8.5千
SNYZ-管理员（广东）,6-9千
列车工作人员/五险一金/上几休几,6-8千
江阴物流现场人员,4-5.5千·13薪
寻 工程类中/高级职称 技术人员,4.5-8.5千
SNYZ-管理员（广东）,6-9千
列车工作人员/五险一金/上几休几,6-8千
监控室值班人员（荔农）,5.5-6.5千
地铁安检人员/五险一金/上几休几,6-8千
红绿灯电警维护人员（清城、佛冈）,4-6千
SNYZ-管理员（广东）,6-9千
工程维修人员,4-5千
地铁安检人员/五险一金/上几休几,6-8千
后勤岗,6-8千
SNYZ-管理员（广东）,6-9千
保安人员,4-4.5千·13薪
列车服务人员/五险一金/上几休几,6-8千
消防控制室安保人员,4-5千
保安人员,4-6千
业务巡查专员（重庆）,8千-1万
列车工作人员/五险一金/上几休几,6-8千
劳务派遣主管,7-9千
现场管理班长（湖北）,5.5千-1.1万
新营销业务部人员管理岗,1-1.2万
列车工作人员/五险一金/上几休几,6-8千
事业中心管理岗,2.6-3.8万
巡查专员 稽查 督查,6千-1万
秩序维护人员招聘180元/天,4-6千
列车服务人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
计算机专业人员,6-9千
部门协助,1.8-2.7万
列车服务人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
保洁后勤人员,3.6-3.8千
后勤管理岗,5-6千
列车服务人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
安全管理专员,8千-1万
现场管理,4.5-5.5千
列车工作人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
售前技术人员,8千-1.6万
国联人寿淮安分公司个险业务部人员管理岗,5-6千
列车工作人员/五险一金/上几休几,6-8千
铁路安检服务人员/包食宿,6-8千
办公场所管理员（双休）,7-9千
办公场所管理员（双休）,7-9千
后勤管理,8千-1万
后勤专员,9千-1.8万·13薪
列车工作人员/五险一金/上几休几,6-8千
业务巡查专员（重庆）,8千-1万
地面管理员正式工就近安排,9千-1.3万·13薪
造价人员,3-5千
列车服务人员/五险一金/上几休几,6-8千
安全管理专员,8千-1万
新营销业务部人员管理岗,1-1.2万
消防控制室安保人员,4-5千
列车服务人员/五险一金/上几休几,6-8千
宝安区某学校招宿管员,5.3-5.5千
加油站经理（陕西西安）,6千-1.2万
工程人员,5-8千
列车服务人员/五险一金/上几休几,6-8千
轨道巡视值班员做二休二,8千-1.2万·16薪
国联人寿淮安分公司个险业务部人员管理岗,5-6千
红绿灯电警维护人员（清城、佛冈）,4-6千
列车服务人员/五险一金/上几休几,6-8千
湖南俄语答疑人员（俄语老师）,8千-1.5万
列车服务人员/五险一金/上几休几,6-8千
高铁工作人员,6-8千
轨道巡视值班员做二休二,8千-1.2万·16薪
甘肃俄语答疑人员（俄语老师）,1-1.5万
列车服务人员/五险一金/上几休几,6-8千
高铁工作人员,6-8千
工程人员（汉街，五险一金包吃住三餐）,3-4.5千
宝安区某学校招宿管员,5.3-5.5千
列车工作人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
研发人员(162943) 日语必须,1.2-2万
龙华教育服务安全管理员,5-5.5千
列车服务人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
现场管理,4-7千·13薪
俄语答疑人员（俄语老师）,8千-1.5万
列车服务人员/五险一金/上几休几,6-8千
列车工作人员,6-8千
后勤主管,8-9千·13薪
银行专项人员（大理）,2.5-4.5千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
导办工作人员,3-3.5千
动物实验室管理技术人员,8千-1.2万
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
招标代理从业人员,7.2-10.8万/年
保洁人员,3.2-3.5千
后勤主管,8-9千·13薪
列车服务人员/五险一金/上几休几,6-8千
后勤,6-8千
档案管理技术人员,1.6-2万
驻厂管理/保底8K,7-8.5千·13薪
列车服务人员/五险一金/上几休几,6-8千
后勤专员,5-7千
高速服务区加油站站长,7-9千
后勤助理,5.5-8.5千
列车服务人员/五险一金/上几休几,6-8千
后勤专员,6-6.5千·13薪
宿舍管理员,6-7千
养护安全巡查员,5-7千
列车服务人员/五险一金/上几休几,6-8千
后勤岗,6-8千
管理员,1-1.1万
总务专员,6-8千·13薪
列车服务人员/五险一金/上几休几,6-8千
事业中心管理岗,2.6-3.8万
售前技术人员,8千-1.6万
资产管理辅助服务人员 （外包岗位）,6-6.5千
列车服务人员/五险一金/上几休几,6-8千
总务专员,6-9千
劳务派遣主管,7-9千
宝安区某学校招宿管员,5.3-5.5千
列车服务人员/五险一金/上几休几,6-8千
后勤专员,4-5千
越南市场开拓人员,5千-1万·13薪
宿舍管理员,5-6千
列车服务人员/五险一金/上几休几,6-8千
编内轨交督导后勤管培生年薪15W,5千-1万·13薪
总务专员,6-8千·13薪
后勤专员,6-6.5千·13薪
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
宇通招聘综合管理岗,5-6.5千
地服巡查督导月15天年薪十万,5千-1万·13薪
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
俄语答疑人员（俄语老师）,8千-1.5万
文职/仓管人员,5-5.5千·13薪
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
广东俄语答疑人员（俄语老师）,8千-1.5万
二次元自营品牌销售人员,3.5-5千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
湖北俄语答疑人员（俄语老师）,8千-1.5万
后勤专员,7-8千
高铁工作人员,6-8千
地铁安检人员/五险一金/上几休几,6-8千
导办工作人员,3-3.5千
巡视岗双休五险一金8000元/月,7.5-8千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
后勤专员,5.5-7.5千
江西上饶小语种俄语答疑人员,8千-1.2万
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
保安人员,2.8-3.5千
后勤兼材料管理,5千-1万
高铁工作人员,6-8千
列车工作人员/五险一金/上几休几,6-8千
仓库管理无需经验7000,6.5-7.5千
抄表员1,4.5-6千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
编内轨交督导后勤管培生年薪15W,5千-1万·13薪
仓库管理月7000可预支,6.5-7.5千
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
江西九江小语种俄语答疑人员,8千-1.2万
劳资专管员,5千-1万
高铁工作人员,6-8千
列车服务人员/五险一金/上几休几,6-8千
博士后研究人员,1.2-1.8万
湖北恩施诚聘答疑人员——俄语老师,8千-1.5万
急招双休-部门管理岗,1.5-2.6万·13薪
列车服务人员/五险一金/上几休几,6-8千
产业园招商人员,6-8千
停车场收费人员,3-4千
总务专员,6-9千
列车服务人员/五险一金/上几休几,6-8千
后勤助理,5.5-8.5千
办事员,4-5.5千
佛山顺德驻厂管理员,6-7千
列车服务人员/五险一金/上几休几,6-8千
稽查专员,6-8千
物业维修人员,3.6-4.5千
售前技术人员,8千-1.6万
列车服务人员/五险一金/上几休几,6-8千
